PRODUCAO;jan;fev;mar;abr;maio;junho;julho;agos;set;out;nov;dez;TOTAL;

UNIVERSIDADE FEDERAL DE GOIAS;
periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;

periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;
